epoch,step,train_eigval_1_epoch,train_eigval_1_step,train_eigval_2_epoch,train_eigval_2_step,train_loss_epoch,train_loss_step,valid_eigval_1_epoch,valid_eigval_1_step,valid_eigval_2_epoch,valid_eigval_2_step,valid_loss_epoch,valid_loss_step
,0,,,,,,,,0.8970623016357422,,0.811943531036377,,-1.463973045349121
0,0,,,,,,,0.8970623016357422,,0.811943531036377,,-1.463973045349121,
0,0,0.8006595373153687,,0.6177455186843872,,-1.02266526222229,,,,,,,
,1,,,,,,,,0.9382567405700684,,0.8503789901733398,,-1.6034700870513916
1,1,,,,,,,0.9382567405700684,,0.8503790497779846,,-1.6034700870513916,
1,1,0.8961141705513,,0.8157694339752197,,-1.4685002565383911,,,,,,,
,2,,,,,,,,0.9547634720802307,,0.8654701113700867,,-1.660611867904663
2,2,,,,,,,0.9547634124755859,,0.8654700517654419,,-1.6606117486953735,
2,2,0.9370445609092712,,0.8551963567733765,,-1.6094133853912354,,,,,,,
,3,,,,,,,,0.9627705216407776,,0.8736728429794312,,-1.6902313232421875
3,3,,,,,,,0.9627704620361328,,0.8736728429794312,,-1.690231442451477,
3,3,0.953685998916626,,0.8706003427505493,,-1.6674619913101196,,,,,,,
,4,,,,,,,,0.9673476815223694,,0.8792253732681274,,-1.7087987661361694
4,4,,,,,,,0.9673476219177246,,0.8792253136634827,,-1.7087987661361694,
4,4,0.9618431329727173,,0.8789734840393066,,-1.6977365016937256,,,,,,,
,5,,,,,,,,0.9703561067581177,,0.8836911916732788,,-1.7225010395050049
5,5,,,,,,,0.9703561067581177,,0.883691132068634,,-1.7225010395050049,
5,5,0.9665746688842773,,0.8846443295478821,,-1.7168619632720947,,,,,,,
,6,,,,,,,,0.9725881218910217,,0.8877109885215759,,-1.7339584827423096
6,6,,,,,,,0.9725881218910217,,0.8877109885215759,,-1.7339586019515991,
6,6,0.9697090983390808,,0.8891996145248413,,-1.7310116291046143,,,,,,,
,7,,,,,,,,0.9743670225143433,,0.8915794491767883,,-1.744304895401001
7,7,,,,,,,0.9743670225143433,,0.8915794491767883,,-1.7443050146102905,
7,7,0.9720273613929749,,0.8932886123657227,,-1.7428019046783447,,,,,,,
,8,,,,,,,,0.975861132144928,,0.8954716324806213,,-1.7541744709014893
8,8,,,,,,,0.9758611917495728,,0.8954715728759766,,-1.7541744709014893,
8,8,0.9739004373550415,,0.8972347974777222,,-1.7535123825073242,,,,,,,
,9,,,,,,,,0.9771241545677185,,0.8994576930999756,,-1.7637958526611328
9,9,,,,,,,0.9771241545677185,,0.8994576930999756,,-1.7637959718704224,
9,9,0.9754437208175659,,0.9011959433555603,,-1.7636446952819824,,,,,,,
,10,,,,,,,,0.9781643748283386,,0.903568685054779,,-1.7732418775558472
10,10,,,,,,,0.9781643748283386,,0.903568685054779,,-1.7732417583465576,
10,10,0.9767562747001648,,0.905225932598114,,-1.773486852645874,,,,,,,
,11,,,,,,,,0.9789952635765076,,0.9078090190887451,,-1.7825489044189453
11,11,,,,,,,0.9789952039718628,,0.9078090786933899,,-1.7825487852096558,
11,11,0.9778485894203186,,0.9093567728996277,,-1.7831175327301025,,,,,,,
,12,,,,,,,,0.9796072840690613,,0.9121740460395813,,-1.7916918992996216
12,12,,,,,,,0.9796072840690613,,0.9121741056442261,,-1.791691780090332,
12,12,0.9787065386772156,,0.9136180281639099,,-1.7925641536712646,,,,,,,
,13,,,,,,,,0.9799595475196838,,0.9166246652603149,,-1.8005214929580688
13,13,,,,,,,0.9799595475196838,,0.9166246652603149,,-1.8005213737487793,
13,13,0.9793108701705933,,0.9179368615150452,,-1.8016579151153564,,,,,,,
,14,,,,,,,,0.9800363183021545,,0.9211028814315796,,-1.8089017868041992
14,14,,,,,,,0.9800363779067993,,0.9211028814315796,,-1.8089016675949097,
14,14,0.9796804189682007,,0.9223175644874573,,-1.81044340133667,,,,,,,
,15,,,,,,,,0.9798323512077332,,0.9255337119102478,,-1.8166840076446533
15,15,,,,,,,0.9798323512077332,,0.9255337119102478,,-1.8166841268539429,
15,15,0.9797688722610474,,0.9266727566719055,,-1.8186695575714111,,,,,,,
,16,,,,,,,,0.9793793559074402,,0.9298214912414551,,-1.8237519264221191
16,16,,,,,,,0.9793792963027954,,0.9298215508460999,,-1.8237518072128296,
16,16,0.9795520305633545,,0.9309377670288086,,-1.826167345046997,,,,,,,
,17,,,,,,,,0.9787361025810242,,0.933890700340271,,-1.8300762176513672
17,17,,,,,,,0.9787360429763794,,0.9338907599449158,,-1.8300762176513672,
17,17,0.9791204333305359,,0.9350216388702393,,-1.8329421281814575,,,,,,,
,18,,,,,,,,0.978027880191803,,0.9376511573791504,,-1.8357281684875488
18,18,,,,,,,0.978027880191803,,0.9376511573791504,,-1.8357280492782593,
18,18,0.9784621000289917,,0.938847541809082,,-1.8388227224349976,,,,,,,
,19,,,,,,,,0.9773492217063904,,0.9410182237625122,,-1.8407268524169922
19,19,,,,,,,0.9773492813110352,,0.9410182237625122,,-1.8407268524169922,
19,19,0.9777547121047974,,0.9423161149024963,,-1.843963861465454,,,,,,,
,20,,,,,,,,0.9768696427345276,,0.9439631700515747,,-1.8453407287597656
20,20,,,,,,,0.9768696427345276,,0.9439631104469299,,-1.8453407287597656,
20,20,0.9771028161048889,,0.9453975558280945,,-1.8485063314437866,,,,,,,
,21,,,,,,,,0.9767021536827087,,0.9464867115020752,,-1.8497841358184814
